Xu_kray_634993802507080078_4968	Моисеев Никита Николаевич
Xu_pavl_634993802223476562_10746	Цетлин Михаил Львович
Xu_pavl_634993802223476562_10832	Левич Вениамин Григорьевич
Xu_pavl_634993802223476562_10840	Крюков Петр Алексеевич
Xu_pavl_634993802223476562_10885	Марков Ю.Г.
Xu_pavl_634993802223476562_10896	Динер Исай Яковлевич
Xu_pavl_634993802223476562_10907	Чичерина Нина  Георгиевна
Xu_pavl_634993802223476562_10910	Усачёв Юрий Дмитриевич
Xu_pavl_634993802223476562_10912	Файнберг Владимир Яковлевич
Xu_pavl_634993802223476562_10914	Гурфинкель Виктор Семёнович
Xu_pavl_634993802223476562_10951	Логунов Владимир Никифорович
Xu_pavl_634993802223476562_10949	Чуев Юрий Васильевич
Xu_pavl_634993802223476562_10677	Семков Борис Фёдорович
